"","Opinion","Number.of.employment.years","House.type","term.in.months","Age","Marital.status","Registers","Type.of.employment","Expenses","income","total.wealth","mortgage.left","amount.of.money.solicitated","price.of.good.to.buy","weight","funding.ratio","saving.capacity","fold"
"1","Positive",3,"rented",5,30,"married","No","Self","less miser",129,1,0,800,846,0.2,2,2,3
"2","Positive",3,"rented",5,58,"widower","No","Permanent","less miser",131,1,0,1000,1658,0.2,1,2,1
"3","Negative",3,"ownerwithdeed",3,46,"married","Yes","Self","less spenthrift",200,1,0,2000,2985,0.2,1,2,8
"4","Positive",2,"rented",5,24,"single","No","Permanent","less miser",182,1,0,900,1325,0.2,1,2,2
"5","Positive",2,"rented",3,26,"single","No","Permanent","less miser",107,1,0,310,910,0.2,1,2,6
"6","Positive",2,"ownerwithdeed",5,36,"married","No","Permanent","less miser",214,1,0,650,1645,0.2,1,2,7
"7","Positive",3,"ownerwithdeed",5,44,"married","No","Permanent","less miser",125,1,0,1600,1800,0.2,2,2,1
"8","Positive",3,"parents",1,27,"single","No","Permanent","miser",80,1,0,200,1093,0.2,1,2,5
"9","Positive",2,"ownerwithdeed",5,32,"married","No","Self","less spenthrift",107,1,0,1200,1957,0.2,1,2,6
"10","Negative",2,"parents",4,41,"married","No","Temporaray","less spenthrift",80,1,0,1200,1468,0.2,2,2,2
"11","Positive",3,"ownerwithdeed",4,34,"married","No","Self","less miser",125,1,0,1150,1577,0.2,2,2,10
"12","Positive",3,"ownerwithdeed",3,29,"married","No","Permanent","less miser",121,1,0,650,915,0.2,2,2,10
"13","Positive",3,"ownerwithdeed",5,30,"married","No","Permanent","less miser",199,1,2500,1500,1650,0.2,2,2,7
"14","Positive",3,"private",3,37,"married","No","Permanent","less miser",170,1,260,600,940,0.2,1,2,1
"15","Negative",2,"others",18,21,"single","Yes","Temporaray","miser",50,1,0,400,500,0.2,2,2,7
"16","Positive",2,"ownerwithdeed",2,68,"married","No","Permanent","less miser",131,1,0,900,1186,0.2,2,2,9
"17","Positive",3,"private",2,52,"single","No","Self","miser",330,1,0,1500,2201,0.2,1,2,6
"18","Positive",3,"rented",2,68,"married","No","Self","less miser",200,1,2000,600,1350,0.2,1,2,1
"19","Negative",2,"ignore",4,36,"married","No","Temporaray","less miser",130,1,0,1100,1511,0.2,2,2,5
"20","Positive",2,"parents",5,31,"single","No","Permanent","miser",137,1,0,1250,1253,0.2,3,2,9
"21","Negative",2,"rented",5,25,"single","No","Permanent","less miser",107,1,0,1500,2189,0.2,1,2,1
"22","Positive",3,"ownerwithdeed",5,22,"single","No","Permanent","less miser",324,1,0,1100,1159,0.2,2,2,2
"23","Negative",2,"ownerwithdeed",5,45,"married","No","Temporaray","less spenthrift",112,1,500,600,1332,0.2,1,2,6
"24","Positive",3,"rented",5,41,"married","No","Permanent","less miser",140,1,0,950,1497,0.2,1,2,3
"25","Positive",3,"ownerwithdeed",5,51,"married","No","Permanent","less miser",143,1,0,1350,1357,0.2,3,2,8
"26","Positive",3,"ownerwithdeed",3,54,"married","No","Permanent","less miser",130,1,0,700,2100,0.2,1,2,3
"27","Positive",3,"ownerwithdeed",5,43,"single","No","Permanent","less miser",180,1,0,1000,1070,0.2,2,2,4
"28","Positive",3,"ownerwithdeed",3,43,"married","No","Permanent","less miser",251,1,0,1800,2557,0.2,2,2,6
"29","Negative",2,"ownerwithdeed",2,23,"married","No","Permanent","less miser",85,1,0,600,1600,0.2,1,2,9
"30","Negative",2,"others",4,37,"single","No","Temporaray","miser",165,1,0,1500,1850,0.2,2,2,9
"31","Positive",2,"ownerwithdeed",4,29,"married","No","Permanent","less miser",150,1,3300,1100,1312,0.2,2,2,2
"32","Negative",2,"ownerwithdeed",3,23,"single","No","Temporaray","less miser",122,1,0,400,400,0.2,3,2,10
"33","Positive",3,"private",2,51,"married","No","Temporaray","less miser",198,1,0,450,650,0.2,1,2,2
"34","Positive",3,"ownerwithdeed",3,39,"married","No","Self","less miser",150,1,0,1000,1394,0.2,2,2,4
"35","Positive",3,"parents",3,35,"single","No","Permanent","miser",170,1,0,1100,1542,0.2,2,2,3
"36","Positive",3,"ownerwithdeed",2,62,"married","No","Self","less miser",119,1,0,700,1200,0.2,1,2,9
